ad,tip,enlem,boylam,mahalle,adres,sorgular,kaynak
Tekfur Sarayı Parkı,toplanma_alani,,,Ayvansaray Mh.,Hoca Çakır Cad.,"Tekfur Sarayı Parkı, Hoca Çakır Cad., Ayvansaray Mh., Fatih, İstanbul||Tekfur Sarayı Parkı, Fatih, İstanbul",Fatih Belediyesi (2019 resmî liste)
Uzunyusuf Parkı,toplanma_alani,,,Seyyid Ömer Mh.,Lalezar Cami Sk.,"Uzunyusuf Parkı, Lalezar Cami Sk., Seyyid Ömer Mh., Fatih, İstanbul||Uzunyusuf Parkı, Fatih, İstanbul",Fatih Belediyesi (2019 resmî liste)
Vatan Cad. Meydanı,toplanma_alani,,,Molla Gürani Mh.,Oğuzhan Cad.,"Vatan Cad. Meydanı, Oğuzhan Cad., Molla Gürani Mh., Fatih, İstanbul||Vatan Cad. Meydanı, Fatih, İstanbul",Fatih Belediyesi (2019 resmî liste)
Veledi Karabaş Parkı,toplanma_alani,,,Mevlanakapı Mh.,Aynalı Bakkal Sk.,"Veledi Karabaş Parkı, Aynalı Bakkal Sk., Mevlanakapı Mh., Fatih, İstanbul||Veledi Karabaş Parkı, Fatih, İstanbul",Fatih Belediyesi (2019 resmî liste)
Vezir Parkı,toplanma_alani,,,Silivrikapı Mh.,Vezir Cad.,"Vezir Parkı, Vezir Cad., Silivrikapı Mh., Fatih, İstanbul||Vezir Parkı, Fatih, İstanbul",Fatih Belediyesi (2019 resmî liste)
Yavuz Selim Çocuk Parkı,toplanma_alani,,,Atikali Mh.,Yavuz Selim Cad.,"Yavuz Selim Çocuk Parkı, Yavuz Selim Cad., Atikali Mh., Fatih, İstanbul||Yavuz Selim Çocuk Parkı, Fatih, İstanbul",Fatih Belediyesi (2019 resmî liste)
Yedikule Parkı,toplanma_alani,,,Yedikule Mh.,Hacı Piri Sk.,"Yedikule Parkı, Hacı Piri Sk., Yedikule Mh., Fatih, İstanbul||Yedikule Parkı, Fatih, İstanbul",Fatih Belediyesi (2019 resmî liste)
Yedikule Sur Parkı,toplanma_alani,,,Yedikule Mh.,Yedikule Meydanı Sk.,"Yedikule Sur Parkı, Yedikule Meydanı Sk., Yedikule Mh., Fatih, İstanbul||Yedikule Sur Parkı, Fatih, İstanbul",Fatih Belediyesi (2019 resmî liste)
Yedikule Yeşil Alanları,toplanma_alani,,,Yedikule Mh.,Yedikule Cad.,"Yedikule Yeşil Alanları, Yedikule Cad., Yedikule Mh., Fatih, İstanbul||Yedikule Yeşil Alanları, Fatih, İstanbul",Fatih Belediyesi (2019 resmî liste)
Yenicami Meydan Parkı,toplanma_alani,,,Rüstem Paşa Mh.,Bankacılar Sk.,"Yenicami Meydan Parkı, Bankacılar Sk., Rüstem Paşa Mh., Fatih, İstanbul||Yenicami Meydan Parkı, Fatih, İstanbul",Fatih Belediyesi (2019 resmî liste)
Çarşamba Meydanı,toplanma_alani,,,Balat Mh.,Lokmacı Dede Sk.,"Çarşamba Meydanı, Lokmacı Dede Sk., Balat Mh., Fatih, İstanbul||Çarşamba Meydanı, Fatih, İstanbul",Fatih Belediyesi (2019 resmî liste)
Çarşamba Çukurbostan Parkı,toplanma_alani,,,Balat Mh.,Sultan Selim Cad.,"Çarşamba Çukurbostan Parkı, Sultan Selim Cad., Balat Mh., Fatih, İstanbul||Çarşamba Çukurbostan Parkı, Fatih, İstanbul",Fatih Belediyesi (2019 resmî liste)
Çemberlitaş Meydanı,toplanma_alani,,,Molla Fenari Mh.,Vezirhanı Cad.,"Çemberlitaş Meydanı, Vezirhanı Cad., Molla Fenari Mh., Fatih, İstanbul||Çemberlitaş Meydanı, Fatih, İstanbul",Fatih Belediyesi (2019 resmî liste)
Çukurbostan Parkı,toplanma_alani,,,Şehremini Mh.,Ziya Gökalp Sk.,"Çukurbostan Parkı, Ziya Gökalp Sk., Şehremini Mh., Fatih, İstanbul||Çukurbostan Parkı, Fatih, İstanbul",Fatih Belediyesi (2019 resmî liste)
Özgüven Parkı,toplanma_alani,,,Karagümrük Mh.,Dumlupınar Sk.,"Özgüven Parkı, Dumlupınar Sk., Karagümrük Mh., Fatih, İstanbul||Özgüven Parkı, Fatih, İstanbul",Fatih Belediyesi (2019 resmî liste)
İMÇ Parkı,toplanma_alani,,,Hacı Kadın Mh.,Hacı Kadın Cad.,"İMÇ Parkı, Hacı Kadın Cad., Hacı Kadın Mh., Fatih, İstanbul||İMÇ Parkı, Fatih, İstanbul",Fatih Belediyesi (2019 resmî liste)
İbrahim Çavuş Parkı,toplanma_alani,,,Mevlanakapı Mh.,Keresteci Veli Sk.,"İbrahim Çavuş Parkı, Keresteci Veli Sk., Mevlanakapı Mh., Fatih, İstanbul||İbrahim Çavuş Parkı, Fatih, İstanbul",Fatih Belediyesi (2019 resmî liste)
Şair Nabi Parkı,toplanma_alani,,,Yavuz Sultan Selim Mh.,Kopça Sk.,"Şair Nabi Parkı, Kopça Sk., Yavuz Sultan Selim Mh., Fatih, İstanbul||Şair Nabi Parkı, Fatih, İstanbul",Fatih Belediyesi (2019 resmî liste)
Şehit Ast. Furkan Işık Parkı,toplanma_alani,,,Seyyid Ömer Mh.,Cevdetpaşa Cad.,"Şehit Ast. Furkan Işık Parkı, Cevdetpaşa Cad., Seyyid Ömer Mh., Fatih, İstanbul||Şehit Ast. Furkan Işık Parkı, Fatih, İstanbul",Fatih Belediyesi (2019 resmî liste)
Şehit Mehmet Çetinkaya Parkı,toplanma_alani,,,Molla Gürani Mh.,Şehit Pilot Mahmut Nedim Sk.,"Şehit Mehmet Çetinkaya Parkı, Şehit Pilot Mahmut Nedim Sk., Molla Gürani Mh., Fatih, İstanbul||Şehit Mehmet Çetinkaya Parkı, Fatih, İstanbul",Fatih Belediyesi (2019 resmî liste)
Şenol Güneş Parkı,toplanma_alani,,,Akşemsettin Mh.,Akdeniz Cad.,"Şenol Güneş Parkı, Akdeniz Cad., Akşemsettin Mh., Fatih, İstanbul||Şenol Güneş Parkı, Fatih, İstanbul",Fatih Belediyesi (2019 resmî liste)
